测试类型,块大小,测试结果

read,4096B,[IOPS=5491--read=21.5MiB/s]
read,16.0KiB,[IOPS=5238--read=81.9MiB/s]
read,32.0KiB,[IOPS=5149--read=161MiB/s]
read,64.0KiB,[IOPS=4874--read=305MiB/s]
read,128KiB,[IOPS=4036--read=505MiB/s]
read,256KiB,[IOPS=2619--read=655MiB/s]
read,512KiB,[IOPS=1349--read=675MiB/s]
read,1024KiB,[IOPS=856--read=856MiB/s]
write,4096B,[IOPS=5286--write=20.7MiB/s]
write,16.0KiB,[IOPS=5089--write=79.5MiB/s]
write,32.0KiB,[IOPS=4647--write=145MiB/s]
write,64.0KiB,[IOPS=4311--write=269MiB/s]
write,128KiB,[IOPS=3605--write=451MiB/s]
write,256KiB,[IOPS=2656--write=664MiB/s]
write,512KiB,[IOPS=1389--write=695MiB/s]
write,1024KiB,[IOPS=593--write=593MiB/s]
randread,4096B,[IOPS=5882--read=23.0MiB/s]
randread,16.0KiB,[IOPS=5544--read=86.6MiB/s]
randread,32.0KiB,[IOPS=5120--read=160MiB/s]
randread,64.0KiB,[IOPS=4961--read=310MiB/s]
randread,128KiB,[IOPS=4298--read=537MiB/s]
randread,256KiB,[IOPS=2828--read=707MiB/s]
randread,512KiB,[IOPS=1872--read=936MiB/s]
randread,1024KiB,[IOPS=642--read=642MiB/s]
randwrite,4096B,[IOPS=5187--write=20.3MiB/s]
randwrite,16.0KiB,[IOPS=4927--write=77.0MiB/s]
randwrite,32.0KiB,[IOPS=4594--write=144MiB/s]
randwrite,64.0KiB,[IOPS=4303--write=269MiB/s]
randwrite,128KiB,[IOPS=3869--write=484MiB/s]
randwrite,256KiB,[IOPS=2843--write=711MiB/s]
randwrite,512KiB,[IOPS=1190--write=595MiB/s]
randwrite,1024KiB,[IOPS=570--write=571MiB/s]
randrw,4096B,[IOPS=3789--read=14.8MiB/s][IOPS=1627--write=6509KiB/s]
randrw,16.0KiB,[IOPS=3543--read=55.4MiB/s][IOPS=1521--write=23.8MiB/s]
randrw,32.0KiB,[IOPS=3383--read=106MiB/s][IOPS=1455--write=45.5MiB/s]
randrw,64.0KiB,[IOPS=3149--read=197MiB/s][IOPS=1354--write=84.6MiB/s]
randrw,128KiB,[IOPS=2728--read=341MiB/s][IOPS=1180--write=148MiB/s]
randrw,256KiB,[IOPS=2166--read=542MiB/s][IOPS=946--write=237MiB/s]
randrw,512KiB,[IOPS=908--read=454MiB/s][IOPS=396--write=198MiB/s]
randrw,1024KiB,[IOPS=416--read=416MiB/s][IOPS=184--write=184MiB/s]
