测试类型,块大小,测试结果

read,4096B,[IOPS=6635--read=25.9MiB/s]
read,16.0KiB,[IOPS=6223--read=97.2MiB/s]
read,32.0KiB,[IOPS=5643--read=176MiB/s]
read,64.0KiB,[IOPS=5501--read=344MiB/s]
read,128KiB,[IOPS=4435--read=554MiB/s]
read,256KiB,[IOPS=3594--read=899MiB/s]
read,512KiB,[IOPS=1518--read=759MiB/s]
read,1024KiB,[IOPS=684--read=685MiB/s]
write,4096B,[IOPS=5310--write=20.7MiB/s]
write,16.0KiB,[IOPS=5039--write=78.7MiB/s]
write,32.0KiB,[IOPS=4655--write=145MiB/s]
write,64.0KiB,[IOPS=4207--write=263MiB/s]
write,128KiB,[IOPS=3637--write=455MiB/s]
write,256KiB,[IOPS=2579--write=645MiB/s]
write,512KiB,[IOPS=1571--write=786MiB/s]
write,1024KiB,[IOPS=654--write=654MiB/s]
randread,4096B,[IOPS=6448--read=25.2MiB/s]
randread,16.0KiB,[IOPS=6301--read=98.5MiB/s]
randread,32.0KiB,[IOPS=5954--read=186MiB/s]
randread,64.0KiB,[IOPS=5376--read=336MiB/s]
randread,128KiB,[IOPS=4637--read=580MiB/s]
randread,256KiB,[IOPS=3564--read=891MiB/s]
randread,512KiB,[IOPS=1864--read=932MiB/s]
randread,1024KiB,[IOPS=889--read=890MiB/s]
randwrite,4096B,[IOPS=5397--write=21.1MiB/s]
randwrite,16.0KiB,[IOPS=5087--write=79.5MiB/s]
randwrite,32.0KiB,[IOPS=4763--write=149MiB/s]
randwrite,64.0KiB,[IOPS=4457--write=279MiB/s]
randwrite,128KiB,[IOPS=3598--write=450MiB/s]
randwrite,256KiB,[IOPS=2430--write=608MiB/s]
randwrite,512KiB,[IOPS=1661--write=831MiB/s]
randwrite,1024KiB,[IOPS=838--write=838MiB/s]
randrw,4096B,[IOPS=4205--read=16.4MiB/s][IOPS=1801--write=7206KiB/s]
randrw,16.0KiB,[IOPS=4008--read=62.6MiB/s][IOPS=1717--write=26.8MiB/s]
randrw,32.0KiB,[IOPS=3668--read=115MiB/s][IOPS=1574--write=49.2MiB/s]
randrw,64.0KiB,[IOPS=3580--read=224MiB/s][IOPS=1539--write=96.2MiB/s]
randrw,128KiB,[IOPS=2814--read=352MiB/s][IOPS=1217--write=152MiB/s]
randrw,256KiB,[IOPS=2293--read=573MiB/s][IOPS=1001--write=250MiB/s]
randrw,512KiB,[IOPS=1129--read=565MiB/s][IOPS=493--write=247MiB/s]
randrw,1024KiB,[IOPS=465--read=465MiB/s][IOPS=206--write=206MiB/s]
